AttributeNameCN,AttributeNameEN,AutoReformedEnName
业绩快报.比年初增长率:归属母公司的股东权益,performanceexpress_eqy_growth,PerformanceExpressEqYGrowth
业绩快报.比年初增长率:归属于母公司股东的每股净资产,performanceexpress_bps_growth,PerformanceExpressBpSGrowth
业绩快报.比年初增长率:总资产,performanceexpress_totassets_growth,PerformanceExpressToTAssetsGrowth
最新业绩快报报告期,performanceexpress_lastrptdate,PerformanceExpressLastRpTDate
年度可转债发行量,relatedcb_yearlyamount,RelatedCbYearlyAmount
基金发行协调人,issue_coordinator,IssueCoordinator
上市基金发行价格,issue_price,IssuePrice
基金分红收益_FUND,stm_is_82,StmIs82
基金规模,fund_fundscale,FundFundScale
基金规模(合计),netasset_total,NetAssetTotal
所属国民经济行业分类,industry_nc,IndustryNc
管理层年度薪酬总额,stmnote_mgmt_ben,StmNoteMGmtBen
管理层增持价格,holder_price_mh,HolderPriceMh
中资中介机构持股数量,share_CN,ShareCn
国际中介机构持股数量,share_OS,ShareOs
中资中介机构持股占比,share_pct_CN,SharePctCn
国际中介机构持股占比,share_pct_OS,SharePctOs
香港本地中介机构持股数量,share_HK,ShareHk
香港本地中介机构持股占比,share_pct_HK,SharePctHk
机构调研家数,ir_noii,IrNoIi
机构调研首日,ir_irfd,IrIRfd
机构调研最新日,ir_irld,IrIrlD
投资机构调研次数,ir_nosoii,IrNoSoIi
投资机构调研家数,ir_noiiii,IrNoIiii
外资机构调研次数,ir_nosofi,IrNosOfI
外资机构调研家数,ir_noiifi,IrNoIiFi
流通A股占总股本比例,share_liqa_pct,ShareLiqAPct
限售A股占总股本比例,share_restricteda_pct,ShareRestrictedAPct
A股合计占总股本比例,share_totala_pct,ShareTotalAPct
流通B股占总股本比例,share_liqb_pct,ShareLiqBPct
限售B股占总股本比例,share_restrictedb_pct,ShareRestrictedBPct
B股合计占总股本比例,share_totalb_pct,ShareTotalBPct
三板A股占总股本比例,share_otca_pct,ShareOtcAPct
三板B股占总股本比例,share_otcb_pct,ShareOtcBPct
三板合计占总股本比例,share_totalotc_pct,ShareTotalOtcPct
香港上市股占总股本比例,share_liqh_pct,ShareLiqHPct
海外上市股占总股本比例,share_oversea_pct,ShareOverSeaPct
流通股合计占总股本比例,share_tradable_pct,ShareTradablePct
限售股合计占总股本比例,share_restricted_pct,ShareRestrictedPct
自由流通股占总股本比例,share_freefloatshr_pct,ShareFreeFloatsHrPct
未平仓卖空数占总股本比例,shortsell_shortintrestpct,ShortSellShortIntRestPct
股改前非流通股占总股本比例,share_nontradable_pct,ShareNonTradablePct
质押股份数量合计,share_pledgeda,SharePledgedA
基金份额,unit_total,UnitTotal
基金份额(合计),unit_fundshare_total,UnitFundShareTotal
基金份额变化,unit_change,UnitChange
基金份额变化率,unit_changerate,UnitChangeRate
基金份额持有人户数,holder_number,HolderNumber
基金份额持有人户数(合计),fund_holder_totalnumber,FundHolderTotalNumber
基金份额变动日期,unit_changedate,UnitChangeDate
本期基金份额交易产生的基金净值变动数,stm_navchange_9,StmNavChange9
ETF基金份额折算日,fund_fundsharetranslationdate,FundFundShareTranslationDate
ETF基金份额折算比例,fund_fundsharetranslationratio,FundFundShareTranslationRatio
本期向基金份额持有人分配利润产生的基金净值变动数,stm_navchange_10,StmNavChange10
单季度.基金份额净值增长率,qanal_navreturn,QAnalNavReturn
单季度.基金份额净值增长率标准差,qanal_stdnavreturn,QAnalStdNavReturn
平均每户持有基金份额,holder_avgholding,HolderAvgHolding
单季度.累计基金份额净值增长率,qanal_accumulatednavreturn,QAnalAccumulatedNavReturn
单季度.加权平均基金份额本期利润,qanal_avgnetincomeperunit,QAnalAvgNetIncomePerUnit
单季度.加权平均基金份额本期净收益,qanal_avgunitincome,QAnalAvgUnitIncome
报告期末可供分配基金份额利润,anal_distributableperunit,AnalDIsTriButAblePerUnit
单季度.报告期期末基金份额净值,qanal_nav,QAnalNav
股东户数,holder_num,HolderNum
机构持股数量合计,holder_totalbyinst,HolderTotalByInSt
机构持股比例合计,holder_pctbyinst,HolderPctByInSt
上清所债券分类,shclearl1type,SHClearL1Type
标准券折算比例,rateofstdbnd,RateOfStdBnd
转股条款,clause_conversion2_tosharepriceadjustitem,ClauseConversion2ToSharePriceAdjustItem
赎回条款,clause_calloption_redeemitem,ClauseCallOptionRedeemItem
时点赎回条款全文,clause_calloption_redeemclause,ClauseCallOptionRedeemClause
巨额赎回条款,massredemptionprovision,MassRedemptionProvision
是否有时点赎回条款,clause_calloption_iswithtimeredemptionclause,ClauseCallOptionIsWithTimeRedemptionClause
条件回售条款全文,clause_putoption_sellbackitem,ClausePutOptionSellBackItem
时点回售条款全文,clause_putoption_timeputbackclause,ClausePutOptionTimePutBackClause
无条件回售条款,clause_putoption_putbackclause,ClausePutOptionPutBackClause
最新评级月份,rating_latestmonth,RatingLatestMonth
发行人最新评级,latestissurercreditrating,LatestIsSurerCreditRating
发行人最新评级展望,ratingoutlooks,RatingOutlooks
发行人最新评级日期,latestissurercreditratingdate,LatestIsSurerCreditRatingDate
发行人最新评级日期(指定机构),latestratingdate,LatestRatingDate
发行人最新评级变动方向,rate_lateissuerchng,RateLateIssuerChNg
发行人最新评级评级类型,latestissurercreditratingtype,LatestIsSurerCreditRatingType
担保人最新评级,latestratingofguarantor,LatestRatingOfGuarantor
担保人最新评级展望,rate_lateguarantorfwd,RateLateGuarantorFwd
担保人最新评级日期,rate_lateguarantordate,RateLateGuarantorDate
担保人最新评级变动方向,rate_lateguarantorchng,RateLateGuaranTorchNg
债券国际评级,ratebond2,RateBond2
发行人国际评级,issuer2,Issuer2
回购代码,repo_code,RepoCode
标的债券,repo_ubond,RepoUBond
发行时标的债券余额,crm_ubondoustandingamount,CrmUbonDouStandingAmount
回购类型,repo_type,RepoType
回购天数,repo_days,RepoDays
凭证起始日,crm_carrydate,CrmCarryDate
标的实体交易代码,crm_subjectcode,CrmSubjectCode
履约保障机制,crm_performguarantee,CrmPerformGuarantee
信用事件,crm_creditevent,CrmCreditEvent
债券信用状态,credit_bondcreditstatus,CreditBondCreditStatus
发行人首次违约日,issuerfirstdefaultdate,IssuerFirstDefaultDate
登记机构,crm_registeragency,CrmRegisterAgency
标的实体,crm_subject,CrmSubject
发布机构,crm_issuer,CrmIssuer
簿记建档日,crm_bookkeepingdate,CrmBookkeepingDate
付费方式,crm_paymentterms,CrmPaymentTerms
创设价格,crm_startingprice,CrmStartingPrice
创设批准文件编号,crm_permissionnumber,CrmPermissionNumber
凭证登记日,crm_dateofrecord,CrmDateOfRecord
第三方基金分类,fund_thirdpartyfundtype,FundThirdPartyFundType
Wind封闭式开放式基金分类,fund_prodtypeoc_wind,FundProdTypeOcWind
基金经理,fund_fundmanageroftradedate,FundFundManagerOfTradeDate
基金经理(现任),fund_fundmanager,FundFundManager
基金经理(历任),fund_predfundmanager,FundPRedFundManager
基金经理(成立),fund_inceptionfundmanager,FundInceptionFundManager
基金经理年限,fund_manager_managerworkingyears,FundManagerManagerWorkingYears
基金经理平均年限,fund_averageworkingyears,FundAverageWorkingYears
基金经理最大年限,fund_maxworkingyears,FundMaxWorkingYears
基金经理指数区间回报(算术平均),fund_managerindex_return,FundManagerIndexReturn
基金经理指数收益标准差(算术平均),fund_managerindex_stdev,FundManagerIndexStDev
基金经理指数年化波动率(算术平均),fund_managerindex_stdevyearly,FundManagerIndexStDevYearly
基金经理指数最大回撤(算术平均),fund_managerindex_maxdownside,FundManagerIndexMaxDownside
基金经理指数区间回报(规模加权),fund_managerindex_weight_return,FundManagerIndexWeightReturn
基金经理指数收益标准差(规模加权),fund_managerindex_weight_stdev,FundManagerIndexWeightStDev
基金经理指数年化波动率(规模加权),fund_managerindex_weight_stdevyearly,FundManagerIndexWeightStDevYearly
基金经理指数最大回撤(规模加权),fund_managerindex_weight_maxdownside,FundManagerIndexWeightMaxDownside
基金经理数,fund_corp_fundmanagersno,FundCorpFundManagersNo
基金经理成熟度,fund_corp_fundmanagermaturity,FundCorpFundManagerMaturity
代管基金经理说明,fund_manager_proxyformanager,FundManagerProxyForManager
Beta(基金经理指数-算术平均),fund_managerindex_beta,FundManagerIndexBeta
Beta(基金经理指数-规模加权),fund_managerindex_weight_beta,FundManagerIndexWeightBeta
Alpha(基金经理指数-算术平均),fund_managerindex_alpha,FundManagerIndexAlpha
Alpha(基金经理指数-规模加权),fund_managerindex_weight_alpha,FundManagerIndexWeightAlpha
Sharpe(基金经理指数-算术平均),fund_managerindex_sharpe,FundManagerIndexSharpe
Sharpe(基金经理指数-规模加权),fund_managerindex_weight_sharpe,FundManagerIndexWeightSharpe
Treynor(基金经理指数-算术平均),fund_managerindex_treynor,FundManagerIndexTreyNor
Treynor(基金经理指数-规模加权),fund_managerindex_weight_treynor,FundManagerIndexWeightTreyNor
任职期限最长的现任基金经理,fund_manager_longestfundmanager,FundManagerLongestFundManager
基金公司调研次数,ir_fcs,IrFcs
基金公司调研家数,ir_nofci,IrNoFci
网下基金公司或其资管子公司配售数量,fund__reitsfms,FundReItsFmS
网下基金公司或其资管子公司配售金额,fund__reitsfmm,FundReItsFMm
网下基金公司或其资管子公司配售份额占比,fund__reitsfmr,FundReItsFMr
网下基金公司或其资管计划配售数量,fund__reitsfmas,FundReItsFmAs
网下基金公司或其资管机构配售金额,fund__reitsfmam,FundReItsFmAm
网下基金公司或其资管计划配售份额占比,fund__reitsfmar,FundReItsFMar
所属基金公司重仓行业市值,prt_stockvalue_holdingindustrymktvalue2,PrtStockValueHoldingIndustryMktValue2
调研最多的基金公司,ir_tmrfc,IrTmRfc
开始交易日,ftdate,FtDate
开始交易日(支持历史),ftdate_new,FtDateNew
最后交易日,lasttrade_date,LastTradeDate
最后交易日(支持历史),ltdate_new,LtDateNew
最后交易日说明,ltdated,LtDated
最后交易日期,lasttradingdate,LastTradingDate
B股最后交易日,div_lasttrddateshareb,DivLastTrDDateShareB
(废弃)最后交易日,lasttradingday,LastTradingDay
股权登记日(B股最后交易日),rightsissue_regdateshareb,RightsIssueRegDateShareB
最后交割日,lastdelivery_date,LastDeliveryDate
最后交割日(支持历史),lddate_new,LdDateNew
交割月份,dlmonth,DlMonth
挂牌基准价,lprice,LPrice
期货交易手续费,transactionfee,TransactionFee
期货交割手续费,deliveryfee,DeliveryFee
期货平今手续费,todaypositionfee,TodayPositionFee
交易品种,sccode,ScCode
交易保证金,margin,Margin
最初交易保证金,ftmargins,FtMargins
权益乘数(剔除客户交易保证金),stmnote_sec_1853,StmNoteSec1853
期货多头保证金(支持历史),long_margin,LongMargin
期货空头保证金(支持历史),short_margin,ShortMargin
报价单位,punit,PunIt
涨跌幅限制,changelt,ChangeLt
涨跌幅限制(支持历史),changelt_new,ChangeLtNew
最小变动价位,mfprice,MfPrice
最小变动价位(支持历史),mfprice1,MfPrice1
标准合约上市日,contract_issuedate,ContractIssueDate
合约乘数,exe_ratio,ExeRatio
合约月份说明,cdmonths,CdMonths
最新交易时间说明,thours,THours
交割日期说明,ddate,DDate
月合约代码,trade_hiscode,TradeHisCode
期货合约所属行业,industry_fu,IndustryFu
期权代码(指定行权价),options_tradecode,OptionsTradeCode
平值期权代码,atmcode,AtmCode
期权交易代码,tradecode,TradeCode
标的代码,us_code,UsCode
标的简称,us_name,UsName
基础资产/标的类型,us_type,UsType
行权方式,exe_mode,ExeMode
行权类型,exe_type,ExeType
行权价格,exe_price,ExePrice
股权激励行权价格,holder_price_stockbasedcompensation,HolderPriceStockBasedCompensation
期权维持保证金(支持历史),maint_margin,MainTMargin
总存续期,totaltm,TotalTm
起始交易日期,startdate,StartDate
起始行权日期,exe_startdate,ExeStartDate
最后行权日期,exe_enddate,ExeEnddate
交割方式,settlementmethod,SettlementMethod
前收盘价,pre_close,PreClose
区间前收盘价,pre_close_per,PreClosePer
标的前收盘价,us_preclose,UsPreClose
正股区间前收盘价,cb_pq_stockpreclose,CbPqStockPreClose
开盘价,open,Open
开盘价(不前推),open3,Open3
区间开盘价,open_per,OpenPer
标的开盘价,us_open,UsOpen
正股区间开盘价,cb_pq_stockopen,CbPqStockOpen
上市首日开盘价,ipo_open,IpoOpen
最高价,high,High
最高价(不前推),high3,High3
区间最高价,high_per,HighPer
区间最高价日,high_date_per,HighDatePer
标的最高价,us_high,UsHigh
区间自最高价的最大跌幅,pct_chg_lowest_per,PctChgLowestPer
正股区间最高价,cb_pq_stockhigh,CbPqStockHigh
上市首日最高价,ipo_high,IpoHigh
被剔除的最高价申报量占比,pohqe,PohQe
最新价较区间最高价跌幅(回撤),pct_chg_low_per,PctChgLowPer
LN(最近一个月最高价/最近一个月最低价)_PIT,tech_lnhighlow20d,TechLnHighLow20D
最低价,low,Low
最低价(不前推),low3,Low3
区间最低价,low_per,LowPer
区间最低价日,low_date_per,LowDatePer
标的最低价,us_low,UsLow
区间自最低价的最大涨幅,pct_chg_highest_per,PctChgHighestPer
正股区间最低价,cb_pq_stocklow,CbPqStockLow
上市首日最低价,ipo_low,IpoLow
预测涨跌幅(评级日-最低价),est_pctchange,EstPctChange
收盘价,close,Close
收盘价(支持定点复权),close2,Close2
收盘价(不前推),close3,Close3
收盘价(23:30),close_FX,CloseFx
收盘价(美元),close_usd,CloseUsd
收盘价(夜盘),close_night,CloseNight
收盘价标准差,risk_stdevclose,RiskStDevClose
收盘价(全价),dirtyprice,DirtyPrice
收盘价(净价),cleanprice,CleanPrice
收盘价久期,duration,Duration
收盘价修正久期,modifiedduration,ModifiedDuration
收盘价凸性,convexity,Convexity
区间收盘价,close_per,ClosePer
N日收盘价1/4分位数,1stquartile,1StQuartIle
N日收盘价中位数,median,Median
N日收盘价3/4分位数,3rdquartile,3RdQuartIle
标的收盘价,us_close,UsClose
5日收盘价三重指数平滑移动平均指标_PIT,tech_trix5,TechTrix5
推N日收盘价(债券),nq_originclose,NQOriginClose
推N日收盘价(当日结算价),nq_close,NQClose
10日收盘价三重指数平滑移动平均指标_PIT,tech_trix10,TechTrix10
涨跌幅(收盘价),pctchange_close,PctChangeClose
正股区间收盘价,cb_pq_stockclose,CbPqStockClose
区间最高收盘价,max_close_per,MaxClosePer
区间最低收盘价,min_close_per,MinClosePer
区间最高收盘价日,max_close_date_per,MaxCloseDatePer
区间最低收盘价日,min_close_date_per,MinCloseDatePer
N日日均收盘价(算术平均),avgclose_per,AvgClosePer
上市首日收盘价,ipo_close,IpoClose
新股开板日收盘价,ipo_limitupopendate_close,IpoLimitUpOpenDateClose
BBI除以收盘价_PIT,tech_bbic,TechBBic
上证固收平台收盘价,close_fixedincome,CloseFixedIncome
正股区间最高收盘价,cb_pq_stockhighclose,CbPqStockHighClose
正股区间最低收盘价,cb_pq_stocklowclose,CbPqStockLowClose
成交量,volume,Volume
成交量(含大宗交易),volume_btin,VolumEBTIn
成交量比上交易日增减,oi_volumec,OiVolumeC
成交量进榜会员名称,oi_vname,OiVName
成交量认沽认购比率,volumeratio,VolumeRatio
成交量的5日指数移动平均_PIT,tech_vema5,TechVemA5
成交量的10日指数移动平均_PIT,tech_vema10,TechVemA10
成交量的12日指数移动平均_PIT,tech_vema12,TechVemA12
成交量的26日指数移动平均_PIT,tech_vema26,TechVemA26
成交量量指数平滑异同移动平均线_PIT,tech_vmacd,TechVmaCd
成交量比率_PIT,tech_vr,TechVr
成交量震荡_PIT,tech_vosc,TechVosC
正成交量指标_PIT,tech_pvi,TechPvI
负成交量指标_PIT,tech_nvi,TechNVi
盘后成交量,volume_aht,VolumeAHt
区间成交量,vol_per,VolPer
区间成交量(含大宗交易),pq_blocktradevolume,PqBlockTradeVolume
N日成交量,vol_nd,VolNd
标的成交量,us_volume,UsVolume
会员成交量,oi_volume,OiVolume
品种成交量,optionvolume,OptionVolume
认购成交量,callvolume,CallVolume
认沽成交量,putvolume,PutVolume
10日成交量标准差_PIT,tech_vstd10,TechVsTd10
20日成交量标准差_PIT,tech_vstd20,TechVsTd20
正股区间成交量,cb_pq_stockvol,CbPqStockVol
区间日均成交量,avg_vol_per,AvgVolPer
区间盘后成交量,pq_volume_aht,PqVolumeAHt
卖空量占成交量比率,shortsell_VolumePct,ShortSellVolumePct
VSTD成交量标准差,VSTD,VsTd
上市首日成交量,ipo_listdayvolume,IpoListDayVolume
开盘集合竞价成交量,open_auction_volume,OpenAuctionVolume
上证固收平台成交量,volume_fixedincome,VolumeFixedIncome
成交额,amt,Amt
成交额(含大宗交易),amount_btin,AmountBtIn
成交额惯性_PIT,tech_amount1m60,TechAmount1M60
盘后成交额,amount_aht,AmountAHt
区间成交额,amt_per,AmtPer
区间成交额(含大宗交易),pq_blocktradeamounts,PqBlockTradeAmounts
N日成交额,amt_nd,AmtNd
标的成交额,us_amount,UsAmount
品种成交额,optionamount,OptionAmount
认购成交额,callamount,CallAmount
认沽成交额,putamount,PutAmount
正股区间成交额,cb_pq_stockamnt,CbPqStockAmNt
区间日均成交额,avg_amt_per,AvgAmtPer
区间盘后成交额,pq_amount_aht,PqAmountAHt
上市首日成交额,ipo_volume,IpoVolume
开盘集合竞价成交额,open_auction_amount,OpenAuctionAmount
成交笔数,dealnum,DealNum
上证固收平台成交笔数,dealnum_fixedincome,DealNumFixedIncome
涨跌,chg,Chg
涨跌幅,pct_chg,PctChg
涨跌幅(债券),pct_chg_b,PctChgB
涨跌(结算价),chg_settlement,ChgSettlement
涨跌幅(结算价),pct_chg_settlement,PctChgSettlement
涨跌停状态,maxupordown,MaxUpOrDown
涨跌(中债),dq_change_cnbd,DQChangeCnBd
涨跌幅(中债),dq_pctchange_cnbd,DQPctChangeCnBd
区间涨跌,chg_per,ChgPer
区间涨跌幅,pct_chg_per,PctChgPer
区间涨跌幅(包含上市首日涨跌幅),pct_chg_per2,PctChgPer2
N日涨跌幅,pct_chg_nd,PctChgNd
区间涨跌(结算价),fs_pq_change_settlement,FsPqChangeSettlement
区间涨跌幅(结算价),fs_pq_pctchange_settlement,FsPqPctChangeSettlement
估算涨跌幅,west_return,WestReturn
估算涨跌幅误差,west_return_error,WestReturnError
标的涨跌,us_change,UsChange
标的涨跌幅,us_pctchange,UsPctChange
近5日涨跌幅,pct_chg_5d,PctChg5D
近1月涨跌幅,pct_chg_1m,PctChg1M
近3月涨跌幅,pct_chg_3m,PctChg3M
近6月涨跌幅,pct_chg_6m,PctChg6M
近1年涨跌幅,pct_chg_1y,PctChg1Y
重仓股涨跌幅,prt_heavilyheldstocksperchange,PrtHeavilyHeldStocksPerChange
净值异常涨跌幅说明,fund_abnormalnavfluctuation,FundAbnormalNavFluctuation
正股区间涨跌,cb_pq_stockchg,CbPqStockChg
正股区间涨跌幅,cb_pq_stockpctchg,CbPqStockPctChg
N日日均涨跌幅,avg_pct_chg_nd,AvgPctChgNd
近10日涨跌幅,pct_chg_10d,PctChg10D
上市首日涨跌幅,ipo_pctchange,IpoPctChange
重仓债券涨跌幅,prt_heavilyheldbondsperchange,PrtHeavilyHeldBondsPerChange
重仓基金涨跌幅,prt_heavilyheldfundperchange,PrtHeavilyHeldFundPerChange
相对发行价涨跌,rel_ipo_chg,RelIpoChg
相对发行价涨跌幅,rel_ipo_pct_chg,RelIpoPctChg
上市后N日涨跌幅,ipo_npctchange,IpoNpcTChange
新股开板日涨跌幅,ipo_limitupopendate_pctchange,IpoLimitUpOpenDatePctChange
区间相对指数涨跌幅,relpctchange,RelPctChange
相对大盘区间涨跌幅,pq_relpctchange,PqRelPctChange
相对大盘N日涨跌幅,nq_relpctchange,NQRelPctChange
年迄今相对指数涨跌幅,pq_relpctchange_ytd,PqRelPctChangeYTd
近5日相对指数涨跌幅,pq_relpctchange_5d,PqRelPctChange5D
近1月相对指数涨跌幅,pq_relpctchange_1m,PqRelPctChange1M
近3月相对指数涨跌幅,pq_relpctchange_3m,PqRelPctChange3M
近6月相对指数涨跌幅,pq_relpctchange_6m,PqRelPctChange6M
近1年相对指数涨跌幅,pq_relpctchange_1y,PqRelPctChange1Y
本月至今相对指数涨跌幅,pq_relpctchange_mtd,PqRelPctChangeMTd
季度至今相对指数涨跌幅,pq_relrelpctchange_mtd,PqRelRelPctChangeMTd
近10日相对指数涨跌幅,pq_relpctchange_10d,PqRelPctChange10D
振幅,swing,Swing
区间振幅,swing_per,SwingPer
N日振幅,swing_nd,SwingNd
标的振幅,us_swing,UsSwing
正股区间振幅,cb_pq_stockswing,CbPqStockSwing
区间日均振幅,avg_swing_per,AvgSwingPer
均价,vwap,VWap
标的均价,us_avgprice,UsAvgPrice
发行前均价,ipo_preprice,IpoPrePrice
正股区间均价,cb_pq_stockavg,CbPqStockAvg
区间成交均价,vwap_per,VWapPer
区间成交均价(可复权),pq_avgprice2,PqAvgPrice2
N日成交均价,nq_avgprice,NQAvgPrice
是否为算术平均价,clause_reset_referencepriceisanverage,ClauseResetReferencePriceIsAnVerAge
上市首日成交均价,ipo_avgprice,IpoAvgPrice
上证固收平台平均价,avgprice_fixedincome,AvgPriceFixedIncome
新股开板日成交均价,ipo_limitupopendate_avgprice,IpoLimitUpOpenDateAvgPrice
复权因子,adjfactor,AdjFactor
基金净值复权因子,NAV_adjfactor,NavAdjFactor
换手率,turn,Turn
换手率(基准.自由流通股本),free_turn,FreeTurn
换手率相对波动率_PIT,tech_turnoverratevolatility20,TechTurnoverRateVolatility20
区间换手率,turn_per,TurnPer
区间换手率(基准.自由流通股本),turn_free_per,TurnFreePer
N日换手率,turn_nd,TurnNd
标的换手率,us_turn,UsTurn
3个月换手率对数平均_PIT,tech_stoq,TechSToQ
正股区间换手率,cb_pq_stockturnover,CbPqStockTurnover
区间日均换手率,pq_avgturn2,PqAvgTurn2
区间日均换手率(剔除无成交日期),avg_turn_per,AvgTurnPer
区间日均换手率(基准.自由流通股本),avg_turn_free_per,AvgTurnFreePer
N日日均换手率,avg_turn_nd,AvgTurnNd
上市首日换手率,ipo_turn,IpoTurn
5日平均换手率_PIT,tech_turnoverrate5,TechTurnoverRate5
12个月换手率对数平均_PIT,tech_stoa,TechSToA
5日平均换手率/120日平均换手率_PIT,tech_turn5dturn120,TechTurn5DTurn120
上市后N日换手率,ipo_nturn,IpoNTurn
10日平均换手率_PIT,tech_turnoverrate10,TechTurnoverRate10
20日平均换手率_PIT,tech_turnoverrate20,TechTurnoverRate20
60日平均换手率_PIT,tech_turnoverrate60,TechTurnoverRate60
10日平均换手率/120日平均换手率_PIT,tech_turn10dturn120,TechTurn10DTurn120
20日平均换手率/120日平均换手率_PIT,tech_turn20dturn120,TechTurn20DTurn120
正股区间平均换手率,cb_pq_stockaveturnover,CbPqStockAveTurnover
